Título,Detalles,Precio_limpio,Colonia_limpia,M2_Construccion,Precio_por_M2,Precio_Promedio_M2_Colonia,Calificacion_Rentabilidad
,"Superficie: 356.0m², Construcción: 743.0m², Recámaras: 6.0, Baños: 2.0, Estacionamientos: 4.0",6400000.0,americana guadalajara,743.0,8613.728129205922,33217.53439239274,Muy Alta Rentabilidad
"EXCELENTE CASA CON FINES COMERCIALES EN VENTA IDEAL PARA OFICINAS O COMERCIO CALLE LERDO DE TEJADA, COLONIA AMERICANA GUADALAJARA,JAL.","Superficie: 400.0m², Construcción: 580.0m², Recámaras: 0.0, Baños: 5.0, Estacionamientos: 3.0",13200000.0,americana guadalajara,580.0,22758.620689655174,33217.53439239274,Muy Alta Rentabilidad
CASA EN AVENIDA VALLARTA COLONIA AMERICANA,"Superficie: 1500.0m², Construcción: 900.0m², Recámaras: 5.0, Baños: 5.0, Estacionamientos: 10.0",47000000.0,americana guadalajara,900.0,52222.22222222222,33217.53439239274,Muy Baja Rentabilidad
"CASA EN VENTA EN COLONIA AMERICANA, GUADALAJARA","Superficie: 364.0m², Construcción: 430.0m², Recámaras: 4.0, Baños: 2.0, Estacionamientos: 3.0",10490000.0,americana guadalajara,430.0,24395.3488372093,33217.53439239274,Muy Alta Rentabilidad
Casa en Venta ubicada en Americana - Guadalupe Montenegro,"Superficie: 400.0m², Construcción: 433.0m², Recámaras: 5.0, Baños: 2.0, Estacionamientos: 0.0",7900000.0,americana guadalajara,433.0,18244.803695150116,33217.53439239274,Muy Alta Rentabilidad
CASA EN VENTA EN COLONIA AMERICANA EN GUADALAJARA,"Superficie: 360.0m², Construcción: 251.0m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 0.0",11000000.0,americana guadalajara,251.0,43824.701195219124,33217.53439239274,Muy Baja Rentabilidad
HOUSE FOR SALE COLONIA AMERICANA GUADALAJARA JALISCO,"Superficie: 350.0m², Construcción: 438.0m², Recámaras: 3.0, Baños: 2.0, Estacionamientos: 1.0",9900000.0,americana guadalajara,438.0,22602.739726027397,33217.53439239274,Muy Alta Rentabilidad
Casa en Venta Efraín González Luna,"Superficie: 472.0m², Construcción: 679.69m², Recámaras: 1.0, Baños: 1.0, Estacionamientos: 4.0",28000000.0,americana guadalajara,679.69,41195.250776089095,33217.53439239274,Muy Baja Rentabilidad
CASA EN VENTA EN COL. AMERICANA EN GUADALAJARA,"Superficie: 148.0m², Construcción: 182.0m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 2.0",6900000.0,americana guadalajara,182.0,37912.08791208791,33217.53439239274,Baja Rentabilidad
CASA EN VENTA EN AV.  HIDALGO EN LA COL. AMERICANA CON PROYECTO HOSTAL BOUTIQUE,"Superficie: 299.0m², Construcción: 299.0m², Recámaras: 8.0, Baños: 1.0, Estacionamientos: 0.0",9400000.0,americana guadalajara,299.0,31438.127090301005,33217.53439239274,Alta Rentabilidad
VENTA DE CASA EN LA COLONIA AMERICANA,"Superficie: 92.0m², Construcción: 172.0m², Recámaras: 3.0, Baños: 3.0, Estacionamientos: 3.0",8395000.0,americana guadalajara,172.0,48808.13953488372,33217.53439239274,Muy Baja Rentabilidad
Casa en venta en Colonia Americana a una cuadra de Av Niños Héroes,"Superficie: 474.0m², Construcción: 455.0m², Recámaras: 6.0, Baños: 2.0, Estacionamientos: 4.0",10700000.0,americana guadalajara,455.0,23516.483516483517,33217.53439239274,Muy Alta Rentabilidad
Casa en Venta en Col. Americana,"Superficie: 356.0m², Construcción: 360.0m², Recámaras: 6.0, Baños: 5.0, Estacionamientos: 2.0",19900000.0,americana guadalajara,360.0,55277.77777777778,33217.53439239274,Muy Baja Rentabilidad
🏡 Casa en Venta en Coto Privado – Colonia Americana,"Superficie: 116.0m², Construcción: 240.0m², Recámaras: 3.0, Baños: 2.0, Estacionamientos: 2.0",5700000.0,americana guadalajara,240.0,23750.0,33217.53439239274,Muy Alta Rentabilidad
"Casa en VENTA sobre Avenida Vallarta, Americana, Guadalajara","Superficie: 312.0m², Construcción: 521.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 4.0",20000000.0,americana guadalajara,521.0,38387.71593090211,33217.53439239274,Baja Rentabilidad
CASA EN VENTA EN LA COLONIA AMERICANA,"Superficie: 0.0m², Construcción: 190.0m², Recámaras: 3.0, Baños: 2.0, Estacionamientos: 1.0",6300000.0,americana guadalajara,190.0,33157.89473684211,33217.53439239274,Rentabilidad Promedio
Casa Nueva en Venta Arboledas Zapopan,"Superficie: 168.0m², Construcción: 225.0m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 2.0",7590000.0,arboledas 1a secc zapopan,225.0,33733.333333333336,33268.46846477415,Rentabilidad Promedio
"Casa en venta ubicada en la colonia Las Arboledas, Zapopan","Superficie: 180.0m², Construcción: 142.0m², Recámaras: 3.0, Baños: 3.0, Estacionamientos: 3.0",5600000.0,arboledas 1a secc zapopan,142.0,39436.619718309856,33268.46846477415,Baja Rentabilidad
Casa de un solo nivel en la colonia Arboledas,"Superficie: 300.0m², Construcción: 161.0m², Recámaras: 3.0, Baños: 2.0, Estacionamientos: 3.0",6500000.0,arboledas 1a secc zapopan,161.0,40372.67080745342,33268.46846477415,Muy Baja Rentabilidad
Casa en Venta ubicada en : Arboledas - Isaac Newton,"Superficie: 237.0m², Construcción: 384.0m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 4.0",7500000.0,arboledas 1a secc zapopan,384.0,19531.25,33268.46846477415,Muy Alta Rentabilidad
Se vende Casa de 3 Recamaras en Arboledas,"Superficie: 79.0m², Construcción: 149.0m², Recámaras: 3.0, Baños: 2.0, Estacionamientos: 1.0",3650000.0,arboledas zapopan,149.0,24496.644295302012,33831.57682975102,Muy Alta Rentabilidad
"Casa remodelada en Arboledas, Zapopan, con 2 recs. en planta baja","Superficie: 160.0m², Construcción: 180.0m², Recámaras: 3.0, Baños: 3.0, Estacionamientos: 2.0",7390000.0,arboledas zapopan,180.0,41055.555555555555,33831.57682975102,Muy Baja Rentabilidad
GANAME!!! ESTOY REMODELADA EN FRACC. ARBOLEDAS - 4 HABITACIONES,"Superficie: 170.0m², Construcción: 225.0m², Recámaras: 4.0, Baños: 5.0, Estacionamientos: 0.0",7800000.0,arboledas zapopan,225.0,34666.666666666664,33831.57682975102,Rentabilidad Promedio
CASA EN VENTA DE UN SOLO NIVEL EN ARBOLEDAS ZAPOPAN CON DEPARTAMENTO EN PLANTA ALTA,"Superficie: 160.0m², Construcción: 222.0m², Recámaras: 5.0, Baños: 3.0, Estacionamientos: 2.0",5900000.0,arboledas zapopan,222.0,26576.576576576575,33831.57682975102,Muy Alta Rentabilidad
Casa en venta con USO DE SUELO MIXTO,"Superficie: 279.0m², Construcción: 276.0m², Recámaras: 4.0, Baños: 2.0, Estacionamientos: 8.0",8900000.0,arboledas zapopan,276.0,32246.376811594204,33831.57682975102,Rentabilidad Promedio
"Casa En Venta En Arboledas, Zapopan, Jalisco.","Superficie: 92.0m², Construcción: 74.0m², Recámaras: 3.0, Baños: 2.0, Estacionamientos: 2.0",4700000.0,arboledas zapopan,74.0,63513.51351351351,33831.57682975102,Muy Baja Rentabilidad
Hermosa Casa en Venta en Paseos del Sol,"Superficie: 162.0m², Construcción: 240.0m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 1.0",5790000.0,arboledas zapopan,240.0,24125.0,33831.57682975102,Muy Alta Rentabilidad
Casa en venta arboledas Zapopan,"Superficie: 165.0m², Construcción: 218.0m², Recámaras: 3.0, Baños: 4.0, Estacionamientos: 2.0",7590000.0,arboledas zapopan,218.0,34816.51376146789,33831.57682975102,Rentabilidad Promedio
CASA EN VENTA ARBOLEDAS ZAPOPAN AMUEBLADA,"Superficie: 300.0m², Construcción: 340.0m², Recámaras: 7.0, Baños: 7.0, Estacionamientos: 2.0",11500000.0,arboledas zapopan,340.0,33823.529411764706,33831.57682975102,Rentabilidad Promedio
Casa En Venta En Arboledas,"Superficie: 147.0m², Construcción: 217.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 1.0",4990000.0,arboledas zapopan,217.0,22995.391705069123,33831.57682975102,Muy Alta Rentabilidad
Hermosa Casa en Vivante Arcos Guadalupe,"Superficie: 148.0m², Construcción: 222.0m², Recámaras: 3.0, Baños: 3.0, Estacionamientos: 2.0",9700000.0,arcos guadalupe zapopan,222.0,43693.69369369369,34769.38292582127,Muy Baja Rentabilidad
"Casa en venta en Arcos de Guadalupe, Zapopan","Superficie: 360.0m², Construcción: 515.0m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 4.0",17500000.0,arcos guadalupe zapopan,515.0,33980.58252427184,34769.38292582127,Rentabilidad Promedio
Casa en Venta en Parque Metropolitano,"Superficie: 268.0m², Construcción: 268.0m², Recámaras: 3.0, Baños: 5.0, Estacionamientos: 2.0",11900000.0,arcos guadalupe zapopan,268.0,44402.985074626864,34769.38292582127,Muy Baja Rentabilidad
CASA EN VENTA  EN ARCOS DE GUADALUPE ZAPOPAN,"Superficie: 315.0m², Construcción: 470.0m², Recámaras: 5.0, Baños: 3.0, Estacionamientos: 2.0",10500000.0,arcos guadalupe zapopan,470.0,22340.425531914894,34769.38292582127,Muy Alta Rentabilidad
CASA EN VENTA EN ARCOS DE GUADALUPE,"Superficie: 276.0m², Construcción: 312.0m², Recámaras: 3.0, Baños: 3.0, Estacionamientos: 2.0",9500000.0,arcos guadalupe zapopan,312.0,30448.71794871795,34769.38292582127,Alta Rentabilidad
Casa en venta en Arcos Guadalupe Zapopan,"Superficie: 625.0m², Construcción: 869.0m², Recámaras: 5.0, Baños: 9.0, Estacionamientos: 8.0",25000000.0,arcos guadalupe zapopan,869.0,28768.699654775603,34769.38292582127,Alta Rentabilidad
Se vende casa frente al Parque Metropolitano,"Superficie: 300.0m², Construcción: 270.0m², Recámaras: 3.0, Baños: 3.0, Estacionamientos: 3.0",11500000.0,arcos guadalupe zapopan,270.0,42592.59259259259,34769.38292582127,Muy Baja Rentabilidad
"CASA RESIDENCIAL VIVANTE, ARCOS DE GUADALUPE","Superficie: 160.0m², Construcción: 300.0m², Recámaras: 3.0, Baños: 3.0, Estacionamientos: 2.0",10800000.0,arcos guadalupe zapopan,300.0,36000.0,34769.38292582127,Rentabilidad Promedio
"CASA VENTA EN LA ESTANCIA , FRENTE AL PARQUE","Superficie: 370.0m², Construcción: 395.0m², Recámaras: 3.0, Baños: 5.0, Estacionamientos: 7.0",12000000.0,arcos guadalupe zapopan,395.0,30379.74683544304,34769.38292582127,Alta Rentabilidad
"Casa en Venta en Arcos de Guadalupe, Zapopan","Superficie: 326.0m², Construcción: 277.0m², Recámaras: 5.0, Baños: 2.0, Estacionamientos: 2.0",17850000.0,arcos guadalupe zapopan,277.0,64440.43321299639,34769.38292582127,Muy Baja Rentabilidad
CASA EN VENTA ARCOS DE GUADALUPE,"Superficie: 361.0m², Construcción: 266.0m², Recámaras: 3.0, Baños: 2.0, Estacionamientos: 4.0",8950000.0,arcos guadalupe zapopan,266.0,33646.61654135338,34769.38292582127,Rentabilidad Promedio
"Casa en Venta Parque Metropolitano, Zapopan.","Superficie: 624.0m², Construcción: 578.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 4.0",18500000.0,arcos guadalupe zapopan,578.0,32006.920415224915,34769.38292582127,Alta Rentabilidad
"Casa en venta en a dos cuadras del metropolitano  La Estancia, Zapopan, Jalisco $8,590,000 En Venta","Superficie: 250.0m², Construcción: 373.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 4.0",8590000.0,arcos guadalupe zapopan,373.0,23029.490616621984,34769.38292582127,Muy Alta Rentabilidad
Casa en Venta en Arcos de Guadalupe - Ganaderos 4996,"Superficie: 307.0m², Construcción: 331.0m², Recámaras: 4.0, Baños: 3.0, Estacionamientos: 2.0",7850000.0,arcos guadalupe zapopan,331.0,23716.012084592145,34769.38292582127,Muy Alta Rentabilidad
"CASA EN VENTA EN LA ESTANCIA $ 12’998,000 pesos","Superficie: 250.0m², Construcción: 405.0m², Recámaras: 5.0, Baños: 4.0, Estacionamientos: 3.0",12998000.0,arcos guadalupe zapopan,405.0,32093.827160493827,34769.38292582127,Alta Rentabilidad
Excelente casa en venta en Arcos Vallarta,"Superficie: 220.0m², Construcción: 290.0m², Recámaras: 10.0, Baños: 2.0, Estacionamientos: 8.0",10200000.0,arcos vallarta guadalajara,290.0,35172.41379310345,30506.483890332293,Baja Rentabilidad
"AVENIDA HIDALGO,  CASA EN  VENTA, GUADALAJARA, JALISCO.","Superficie: 289.0m², Construcción: 393.0m², Recámaras: 11.0, Baños: 7.0, Estacionamientos: 6.0",8200000.0,arcos vallarta guadalajara,393.0,20865.139949109416,30506.483890332293,Muy Alta Rentabilidad
Amplia Casa en Venta en esquina con Av. Circunvalación y Calle Juan de Mena,"Superficie: 286.0m², Construcción: 385.0m², Recámaras: 5.0, Baños: 3.0, Estacionamientos: 2.0",10490000.0,arcos vallarta guadalajara,385.0,27246.753246753247,30506.483890332293,Alta Rentabilidad
Casa en venta en Arcos Vallarta,"Superficie: 406.0m², Construcción: 303.0m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 2.0",13000000.0,arcos vallarta guadalajara,303.0,42904.29042904291,30506.483890332293,Muy Baja Rentabilidad
Casa en venta colonia Arcos Vallarta,"Superficie: 596.0m², Construcción: 596.0m², Recámaras: 0.0, Baños: 0.0, Estacionamientos: 0.0",16400000.0,arcos vallarta guadalajara,596.0,27516.77852348993,30506.483890332293,Alta Rentabilidad
LA MEJOR OPCION PARA OFICINAS EN ARCOS VALLARTA GUADALAJARA,"Superficie: 246.0m², Construcción: 349.0m², Recámaras: 5.0, Baños: 3.0, Estacionamientos: 5.0",17000000.0,arcos vallarta guadalajara,349.0,48710.60171919771,30506.483890332293,Muy Baja Rentabilidad
Casa en venta cera de la Minerva,"Superficie: 791.0m², Construcción: 655.0m², Recámaras: 6.0, Baños: 3.0, Estacionamientos: 6.0",22000000.0,arcos vallarta guadalajara,655.0,33587.78625954199,30506.483890332293,Baja Rentabilidad
Oficinas con ubicación en arcos vallarta,"Superficie: 478.0m², Construcción: 686.0m², Recámaras: 12.0, Baños: 4.0, Estacionamientos: 5.0",17200000.0,arcos vallarta guadalajara,686.0,25072.88629737609,30506.483890332293,Alta Rentabilidad
CASA U OFICINA EN VENTA CERCA DE LA GLORIETA MINERVA,"Superficie: 200.0m², Construcción: 348.0m², Recámaras: 4.0, Baños: 4.0, Estacionamientos: 0.0",7980000.0,arcos vallarta guadalajara,348.0,22931.03448275862,30506.483890332293,Muy Alta Rentabilidad
CASA ACONDICIONADA A OFICINA CON 9 ESPACIOS ZONA MINERVA ARCOS VALLARTA,"Superficie: 152.0m², Construcción: 272.0m², Recámaras: 0.0, Baños: 0.0, Estacionamientos: 2.0",5350000.0,arcos vallarta guadalajara,272.0,19669.117647058825,30506.483890332293,Muy Alta Rentabilidad
Casa en Venta con Uso de Suelo Mixto sobre Av. Justo Sierra en Guadalajara,"Superficie: 220.0m², Construcción: 379.0m², Recámaras: 3.0, Baños: 2.0, Estacionamientos: 2.0",11800000.0,arcos vallarta guadalajara,379.0,31134.564643799473,30506.483890332293,Rentabilidad Promedio
Casa en ARCOS VALLARTA ideal para oficinas,"Superficie: 350.0m², Construcción: 378.0m², Recámaras: 8.0, Baños: 3.0, Estacionamientos: 0.0",15400000.0,arcos vallarta guadalajara,378.0,40740.74074074074,30506.483890332293,Muy Baja Rentabilidad
CASA CON OPCION DE OFICINAS CONSULTORIOS O HABITACIONAL EN ARCOS VALLARTA,"Superficie: 224.0m², Construcción: 307.0m², Recámaras: 0.0, Baños: 2.0, Estacionamientos: 5.0",9500000.0,arcos vallarta guadalajara,307.0,30944.625407166124,30506.483890332293,Rentabilidad Promedio
Casa en Venta  cerca Minerva   Guadalajara vivienda y comercial OPORTUNIDAD,"Superficie: 205.0m², Construcción: 367.0m², Recámaras: 3.0, Baños: 2.0, Estacionamientos: 4.0",7000000.0,arcos vallarta guadalajara,367.0,19073.56948228883,30506.483890332293,Muy Alta Rentabilidad
Casa en Venta a Precio de Terreno – Ideal para Remodelar o Desarrollar,"Superficie: 231.0m², Construcción: 309.0m², Recámaras: 3.0, Baños: 2.0, Estacionamientos: 4.0",8450000.0,arcos vallarta guadalajara,309.0,27346.278317152104,30506.483890332293,Alta Rentabilidad
CASA EN VENTA EN LA COLONIA ARCOS VALLARTA,"Superficie: 775.0m², Construcción: 778.0m², Recámaras: 8.0, Baños: 6.0, Estacionamientos: 4.0",33000000.0,arcos vallarta guadalajara,778.0,42416.45244215938,30506.483890332293,Muy Baja Rentabilidad
"Casa a la venta en Arcos Vallarta, Guadalajara","Superficie: 185.0m², Construcción: 328.0m², Recámaras: 5.0, Baños: 3.0, Estacionamientos: 2.0",8490000.0,arcos vallarta guadalajara,328.0,25884.146341463416,30506.483890332293,Alta Rentabilidad
"CASA RESIDENCIAL EN VENTA POR LA MINERVA, GUADALAJARA JALISCO","Superficie: 255.0m², Construcción: 318.0m², Recámaras: 5.0, Baños: 5.0, Estacionamientos: 4.0",8500000.0,arcos vallarta guadalajara,318.0,26729.559748427673,30506.483890332293,Alta Rentabilidad
Casa en venta Zona Minerva,"Superficie: 789.5m², Construcción: 838.0m², Recámaras: 4.0, Baños: 5.0, Estacionamientos: 6.0",25800000.0,arcos vallarta guadalajara,838.0,30787.589498806683,30506.483890332293,Rentabilidad Promedio
"Casa en Arcos Vallarta, ideal para departamentos o oficinas.","Superficie: 311.0m², Construcción: 344.0m², Recámaras: 7.0, Baños: 3.0, Estacionamientos: 5.0",10800000.0,arcos vallarta guadalajara,344.0,31395.3488372093,30506.483890332293,Rentabilidad Promedio
CASA EN CERCA A VALLE DE ATEMAJAC,"Superficie: 280.0m², Construcción: 420.0m², Recámaras: 4.0, Baños: 0.0, Estacionamientos: 4.0",5500000.0,atemajac valle zapopan,420.0,13095.238095238095,19485.314989016704,Muy Alta Rentabilidad
Casa en venta en Atemajac del Valle- Nicolás Bravo 2,"Superficie: 120.0m², Construcción: 275.0m², Recámaras: 6.0, Baños: 5.0, Estacionamientos: 0.0",3450000.0,atemajac valle zapopan,275.0,12545.454545454546,19485.314989016704,Muy Alta Rentabilidad
,"Superficie: 85.0m², Construcción: 78.0m², Recámaras: 2.0, Baños: 2.0, Estacionamientos: 2.0",1995000.0,atemajac valle zapopan,78.0,25576.923076923078,19485.314989016704,Muy Baja Rentabilidad
